timestamp,addr,flight,squawk,category,alt_baro,alt_geom,lat,lon,gs,ias,tas,mach,track,track_rate,roll,mag_heading,true_heading,baro_rate,geom_rate,messages,seen,rssi,distance,air_ground,nic,rc,version,nic_baro,nac_p,nac_v,sil,sil_type,seen_pos,alert,spi,gva,sda,wind_speed,wind_direction,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,addr_type,emergency,autopilot,vnav,althold,approach,lnav,tcas
1743819170,3788547,,8710,0,40000,40150,0.0,0.0,502,260,0,0.8519999980926514,43,0.0,0.0,45,0,0,32,20,1743819168368,-35.93669891357422,0,2,0,0,0,0,0,2,0,0,0,False,False,0,0,0,0,1013.2999877929688,40000,0,0,0,0,False,False,False,False,False,False
1743819230,3788547,,8710,0,40000,40150,0.0,0.0,502,260,0,0.8519999980926514,43,0.0,0.0,45,0,0,32,21,1743819173218,-35.97306823730469,0,2,0,0,0,0,0,2,0,0,0,False,False,0,0,0,0,1013.2999877929688,40000,0,0,0,0,False,False,False,False,False,False
1743821693,3788555,,18003,0,40000,40150,43.93757629394531,-6.8121621775072185,506,0,498,0.0,43,0.0,-0.17578125,0,0,64,0,29,1743821689369,-35.61531448364258,123216,2,8,186,0,1,8,2,2,1,16,False,False,0,0,0,0,1013.5999755859375,40000,0,45,0,0,False,False,False,False,False,False
1743821752,3788555,,18003,0,40000,40150,43.9900492005429,-6.742270333426339,506,0,498,0.0,43,0.0,-0.17578125,0,0,64,0,33,1743821714518,-36.08516311645508,121691,2,8,186,0,1,8,2,2,1,44,False,False,0,0,0,0,1013.5999755859375,40000,0,45,0,0,False,False,False,False,False,False
1743823255,4742860,,0,0,38000,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,3,1743823249243,-39.85682678222656,0,2,0,0,0,0,8,0,2,1,0,False,False,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1743823314,4742860,,0,0,38000,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,3,1743823249243,-39.85682678222656,0,2,0,0,0,0,8,0,2,1,0,False,False,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1743824936,3761228,,17015,0,41000,41250,43.976642156051376,-6.910531180245528,485,244,476,0.8199999928474426,48,0.0,-0.17578125,50,0,0,0,76,1743824936068,-34.493019104003906,132203,2,8,186,2,1,10,1,3,3,0,False,False,2,2,0,0,1013.0,41008,0,0,0,0,False,False,False,False,False,False
1743824996,3761228,,17015,0,41000,41225,44.029851363877114,-6.828133719308036,485,244,474,0.8199999928474426,48,0.03125,0.17578125,50,0,0,0,120,1743824986501,-35.81863784790039,129856,2,8,186,2,1,10,1,3,3,25,False,False,2,2,0,0,1012.7999877929688,40992,0,0,0,0,False,False,False,False,False,False
1743825056,3761228,,17015,0,41000,41225,44.029851363877114,-6.828133719308036,485,244,474,0.8199999928474426,48,0.03125,0.17578125,50,0,0,0,120,1743824986501,-35.81863784790039,129856,2,8,186,2,1,10,1,3,3,69,False,False,2,2,0,0,1012.7999877929688,40992,0,0,0,0,False,False,False,False,False,False
1743827819,3761217,,0,0,40000,0,0.0,0.0,490,0,0,0.0,44,0.0,0.0,0,0,0,0,8,1743827809555,-35.042625427246094,0,2,0,0,2,1,10,1,3,3,0,False,False,2,2,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1743827879,3761217,,0,0,40000,0,0.0,0.0,490,0,0,0.0,44,0.0,0.0,0,0,0,0,8,1743827809555,-35.042625427246094,0,2,0,0,2,1,10,1,3,3,0,False,False,2,2,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1743828119,4739504,KLM702,18006,165,40000,40200,43.9377244852357,-6.812962123325917,502,257,0,0.843999981880188,43,0.0,0.0,45,0,0,-64,84,1743828119254,-34.35771179199219,123280,2,8,186,2,1,9,1,3,3,1,False,False,2,2,0,0,1012.7999877929688,40000,0,40,0,0,True,True,False,False,True,True
1743828179,4739504,KLM702,18006,165,40000,40200,43.99023540949417,-6.743120465959821,501,260,494,0.8519999980926514,43,0.0,-0.17578125,45,0,-576,-64,149,1743828160224,-35.45857620239258,121758,2,8,186,2,1,9,1,3,3,30,False,False,2,2,9,188,1012.7999877929688,40000,0,40,0,0,True,True,False,False,True,True
1743828239,4739504,KLM702,18006,165,40000,40200,43.99023540949417,-6.743120465959821,501,260,494,0.8519999980926514,43,0.0,-0.17578125,45,0,-576,-64,149,1743828160224,-35.45857620239258,121758,2,8,186,2,1,9,1,3,3,69,False,False,2,2,9,188,1012.7999877929688,40000,0,40,0,0,True,True,False,False,True,True
1743828660,4744926,TRA5357,14151,163,37025,37225,44.02207714016154,-4.764927455357167,443,0,0,0.0,211,0.0,0.0,0,0,-64,0,30,1743828660073,-33.77246856689453,94830,2,8,186,0,1,8,1,2,1,0,False,False,0,0,0,0,1012.7999877929688,36992,0,0,0,0,False,False,False,False,False,False
1743828720,4744926,TRA5357,14151,163,36975,37175,43.91584493346133,-4.85360281808039,445,252,452,0.7760000228881836,210,0.0,-0.17578125,213,0,64,64,337,1743828720277,-31.772619247436523,81214,2,8,186,2,1,11,1,3,3,0,False,False,2,3,18,279,1012.7999877929688,36992,0,0,0,0,False,False,False,False,False,False
1743828780,4744926,TRA5357,14151,163,37000,37200,43.81036376953125,-4.941164948219466,446,253,456,0.7799999713897705,210,0.0,-0.17578125,213,0,64,32,758,1743828780344,-32.21286392211914,67774,2,8,186,2,1,11,1,3,3,0,False,False,2,3,20,271,1012.7999877929688,36992,0,0,0,0,False,False,False,False,False,False
1743828840,4744926,TRA5357,14151,163,37025,37225,43.70448303222656,-5.028863951217261,445,254,454,0.7839999794960022,211,0.0,-0.17578125,213,0,0,32,1208,1743828840465,-27.508237838745117,54396,2,8,186,2,1,11,1,3,3,0,False,False,2,3,12,260,1012.7999877929688,36992,0,0,0,0,False,False,False,False,False,False
1743828900,4744926,TRA5357,14151,163,37000,37225,43.597412109375,-5.1170739462208985,447,248,446,0.7680000066757202,210,0.15625,0.703125,213,0,-128,-128,1849,1743828900741,-29.697532653808594,41113,2,8,186,2,1,11,1,3,3,0,False,False,2,3,19,275,1012.7999877929688,36992,0,0,0,0,False,False,False,False,False,False
