timestamp,addr,flight,squawk,category,alt_baro,alt_geom,lat,lon,gs,ias,tas,mach,track,track_rate,roll,mag_heading,true_heading,baro_rate,geom_rate,messages,seen,rssi,distance,air_ground,nic,rc,version,nic_baro,nac_p,nac_v,sil,sil_type,seen_pos,alert,spi,gva,sda,wind_speed,wind_direction,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,addr_type,emergency,autopilot,vnav,althold,approach,lnav,tcas
1744506854,10793147,,5186,0,38000,0,43.76261901855469,-5.316935694494913,0,0,0,0.0,0,0.0,0.0,0,0,0,0,31,1744506830480,-36.03620529174805,0,2,8,186,0,0,8,0,2,1,31,False,False,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1744506914,10793147,DAL222,5186,165,38000,38175,43.69020080566406,-5.056585267532682,496,261,472,0.8199999928474426,111,0.0,-0.17578125,114,0,0,-32,143,1744506914440,-34.25495910644531,51698,2,8,186,0,1,8,2,2,1,3,False,False,0,0,0,0,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744506975,10793147,DAL222,5186,165,38000,38175,43.66145324707031,-4.953748126362598,496,259,470,0.8159999847412109,111,0.03125,0.3515625,114,0,64,64,296,1744506950683,-35.14209747314453,55840,2,8,186,2,1,11,2,3,3,28,False,False,2,2,32,257,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744507035,10793147,DAL222,5186,165,38000,38175,43.66145324707031,-4.953748126362598,496,259,470,0.8159999847412109,111,0.03125,0.3515625,114,0,64,64,296,1744506950683,-35.14209747314453,55840,2,8,186,2,1,11,2,3,3,69,False,False,2,2,32,257,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744511899,10822527,DAL234,0,165,38000,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,6,1744511896982,-37.23362731933594,0,2,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1744511959,10822527,DAL234,0,165,38000,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,9,1744511952770,-36.273250579833984,0,2,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1744512019,10822527,DAL234,5207,165,38000,38125,43.7640380859375,-4.964670580486919,496,0,0,0.0,112,0.0,0.0,0,0,0,0,69,1744512019478,-35.59938430786133,0,2,8,186,0,1,10,2,3,1,19,False,False,0,0,0,0,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744512080,10822527,DAL234,5207,165,38000,38125,43.74173956402277,-4.890485491071429,496,0,0,0.0,112,0.0,0.0,0,0,0,0,106,1744512056890,-36.6091194152832,0,2,8,186,0,1,8,2,2,1,54,False,False,0,0,0,0,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744512140,10822527,DAL234,5207,165,38000,38125,43.74173956402277,-4.890485491071429,496,0,0,0.0,112,0.0,0.0,0,0,0,0,106,1744512056890,-36.6091194152832,0,2,8,186,0,1,8,2,2,1,69,False,False,0,0,0,0,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744516043,12604406,ACA822,20785,165,39000,39125,43.759708727820446,-5.242440359933036,503,261,478,0.8360000252723694,111,0.0,-0.3515625,115,0,-64,64,86,1744516043394,-35.55378723144531,49392,2,8,186,2,1,9,1,3,3,6,False,False,2,2,0,0,1012.7999877929688,39008,0,0,0,0,False,False,False,False,False,False
1744516104,12604406,ACA822,20785,165,39000,39125,43.705335714049255,-5.049394880022305,503,257,478,0.828000009059906,111,0.0,-0.3515625,115,0,160,32,122,1744516103659,-34.83524703979492,53306,2,8,186,2,1,9,1,3,3,1,False,False,2,2,0,0,1012.7999877929688,39008,0,0,0,0,False,False,False,False,False,False
1744516164,12604406,ACA822,20785,165,39000,39125,43.67527770996094,-4.9432727902434594,499,257,476,0.828000009059906,111,0.0,-0.17578125,115,0,0,-32,231,1744516156090,-36.21824264526367,57441,2,8,186,2,1,9,1,3,3,26,False,False,2,2,0,0,1012.7999877929688,39008,0,0,0,0,False,False,False,False,False,False
1744516224,12604406,ACA822,20785,165,39000,39125,43.67527770996094,-4.9432727902434594,499,257,476,0.828000009059906,111,0.0,-0.17578125,115,0,0,-32,231,1744516156090,-36.21824264526367,57441,2,8,186,2,1,9,1,3,3,69,False,False,2,2,0,0,1012.7999877929688,39008,0,0,0,0,False,False,False,False,False,False
1744518146,4756001,ENT76MC,30307,163,37000,37175,43.66026306152344,-5.065783123637345,424,255,452,0.7879999876022339,210,0.0,-0.52734375,214,0,0,0,187,1744518145612,-34.84328079223633,48844,2,8,186,2,1,9,1,3,3,0,False,False,2,2,32,242,1013.5999755859375,36992,37008,213,0,0,False,False,False,False,False,False
1744518206,4756001,ENT76MC,30307,163,37000,37175,43.55754089355469,-5.149969056595182,424,254,450,0.7839999794960022,210,0.0,-0.3515625,214,0,0,0,723,1744518206116,-31.990522384643555,36270,2,8,186,2,1,9,1,3,3,0,False,False,2,2,35,254,1013.5999755859375,36992,37008,213,0,0,False,False,False,False,False,False
