timestamp,addr,flight,squawk,category,alt_baro,alt_geom,lat,lon,gs,ias,tas,mach,track,track_rate,roll,mag_heading,true_heading,baro_rate,geom_rate,messages,seen,rssi,distance,air_ground,nic,rc,version,nic_baro,nac_p,nac_v,sil,sil_type,seen_pos,alert,spi,gva,sda,wind_speed,wind_direction,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,addr_type,emergency,autopilot,vnav,althold,approach,lnav,tcas
1743600229,4739597,TRA31M,14096,163,37000,37025,43.36775207519531,-5.305119004360449,456,252,448,0.7799999713897705,210,0.03125,0.52734375,213,0,0,32,1332,1743600229361,-26.958717346191406,16290,2,8,186,2,1,9,1,3,3,0,False,False,2,2,18,327,1013.5999755859375,36992,0,213,0,0,False,False,False,False,False,False
1743600229,3957926,DLH17T,288,163,35000,35025,43.74541719081038,-4.995247977120528,426,256,438,0.7599999904632568,211,0.0,-0.52734375,215,0,0,0,975,1743600229452,-29.14102554321289,59535,2,8,186,2,1,9,1,3,3,0,False,False,2,2,20,266,1012.7999877929688,35008,0,0,0,0,False,False,False,False,False,False
1743600289,4456627,EJU94YZ,9842,163,36975,37075,43.86570739746094,-6.6492196016533285,443,247,436,0.7639999985694885,215,-0.0625,0.0,218,0,0,32,271,1743600289432,-31.094955444335938,107910,2,8,186,2,1,10,2,3,3,0,False,False,2,2,14,332,1013.5999755859375,36992,0,0,0,0,False,False,False,False,False,False
1743600289,4739597,TRA31M,14096,163,37000,37025,43.26214599609375,-5.391157283339339,457,254,450,0.7839999794960022,210,0.0,0.17578125,213,0,0,0,2044,1743600287714,-33.35192108154297,14216,2,8,186,2,1,9,1,3,3,2,False,False,2,2,18,324,1013.5999755859375,36992,0,213,0,0,False,False,False,False,False,False
1743600289,3957926,DLH17T,288,163,35000,35050,43.64416607355667,-5.078887939453125,423,255,434,0.7559999823570251,210,-0.0625,-0.87890625,214,0,0,32,1489,1743600289608,-28.044876098632812,46854,2,8,186,2,1,9,1,3,3,0,False,False,2,2,20,265,1012.7999877929688,35008,0,0,0,0,False,False,False,False,False,False
1743600349,4456627,EJU94YZ,9842,163,36975,37050,43.76445705607786,-6.751033238002265,448,246,436,0.7639999985694885,216,-0.09375,-0.17578125,218,0,0,-32,715,1743600349755,-32.070281982421875,109975,2,8,186,2,1,10,2,3,3,0,False,False,2,2,13,16,1013.5999755859375,36992,0,0,0,0,False,False,False,False,False,False
1743600349,4739597,TRA31M,14096,163,37000,37025,43.20222473144531,-5.439957019894621,459,256,454,0.7879999876022339,210,0.0,0.17578125,213,0,0,0,2114,1743600345727,-32.91924285888672,18213,3,8,186,2,1,9,1,3,3,29,False,False,2,2,18,324,1013.5999755859375,36992,0,213,0,0,False,False,False,False,False,False
1743600349,3957926,DLH17T,288,163,34975,35025,43.54280090332031,-5.162232864734733,423,256,434,0.7559999823570251,210,0.0,0.0,214,0,-64,-64,1948,1743600349657,-24.58046531677246,34496,2,8,186,2,1,9,1,3,3,0,False,False,2,2,27,273,1012.7999877929688,35008,0,0,0,0,False,False,False,False,False,False
1743600410,4456627,EJU94YZ,9842,163,36975,37075,43.72893769862288,-6.78660801478793,451,246,434,0.7599999904632568,216,0.0,0.0,218,0,0,0,869,1743600383644,-35.146827697753906,111101,2,8,186,2,1,10,2,3,3,39,False,False,2,2,21,0,1013.5999755859375,36992,0,0,0,0,False,False,False,False,False,False
1743600410,4739597,TRA31M,14096,163,37000,37025,43.20222473144531,-5.439957019894621,459,256,454,0.7879999876022339,210,0.0,0.17578125,213,0,0,0,2115,1743600358343,-33.34901809692383,18213,2,8,186,2,1,9,1,3,3,69,False,False,2,2,18,324,1013.5999755859375,36992,0,213,0,0,False,False,False,False,False,False
