timestamp,addr,flight,squawk,category,alt_baro,alt_geom,lat,lon,gs,ias,tas,mach,track,track_rate,roll,mag_heading,true_heading,baro_rate,geom_rate,messages,seen,rssi,distance,air_ground,nic,rc,version,nic_baro,nac_p,nac_v,sil,sil_type,seen_pos,alert,spi,gva,sda,wind_speed,wind_direction,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,addr_type,emergency,autopilot,vnav,althold,approach,lnav,tcas
1743650798,11154455,,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,2,1743650796377,-41.74482345581055,0,2,0,0,0,1,10,0,3,1,0,False,False,0,0,0,0,1012.7999877929688,36992,0,106,0,0,False,False,False,False,False,False
1743650858,11154455,AAL66,20769,0,37000,36900,43.633133193193856,-5.827069963727695,468,269,482,0.8320000171661377,107,0.0,0.0,111,0,0,32,109,1743650858030,-32.57862854003906,40006,2,8,186,2,1,10,1,3,3,0,False,False,2,2,0,0,1012.7999877929688,36992,0,106,0,0,False,False,False,False,False,False
1743650918,11154455,AAL66,20769,165,37000,36900,43.59562683105469,-5.660769440406966,468,268,480,0.828000009059906,107,0.0,0.17578125,111,0,0,0,672,1743650917242,-32.987022399902344,29141,2,8,186,2,1,10,1,3,3,2,False,False,2,2,26,176,1012.7999877929688,36992,0,106,0,0,False,False,False,False,False,False
1743650978,11154455,AAL66,20769,165,37000,36925,43.55497198589777,-5.482439313616055,469,270,480,0.8320000171661377,107,0.0,0.3515625,111,0,0,0,993,1743650978642,-32.14060592651367,21903,2,8,186,2,1,10,1,3,3,0,False,False,2,2,35,181,1012.7999877929688,36992,0,106,0,0,False,False,False,False,False,False
1743651037,11154455,AAL66,20769,165,37000,36925,43.51712501655191,-5.317121233258945,468,272,482,0.8360000252723694,107,0.0,0.3515625,112,0,-64,-32,1541,1743651037742,-31.09876823425293,23309,2,8,186,2,1,10,1,3,3,0,False,False,2,2,37,174,1012.7999877929688,36992,0,106,0,0,False,False,False,False,False,False
1743651098,11154455,AAL66,20769,165,37000,36925,43.48919677734375,-5.196405455123511,467,268,478,0.828000009059906,107,0.0,0.0,112,0,0,0,1924,1743651081618,-34.44071960449219,28923,2,8,186,2,1,10,1,3,3,18,False,False,2,2,36,181,1012.7999877929688,36992,0,106,0,0,False,False,False,False,False,False
1743651158,11154455,AAL66,20769,165,37000,36925,43.48919677734375,-5.196405455123511,469,268,478,0.828000009059906,107,0.0,0.0,112,0,0,0,1925,1743651103347,-34.59806823730469,28923,2,8,186,2,1,10,1,3,3,69,False,False,2,2,36,181,1012.7999877929688,36992,0,106,0,0,False,False,False,False,False,False
1743653861,12605483,,20803,0,37000,36900,43.59752073126324,-5.954982212611607,468,0,0,0.0,106,0.0,0.0,0,0,0,0,42,1743653860861,-35.5910530090332,0,2,8,186,0,0,8,1,2,1,31,False,False,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1743653921,12605483,ACA822,20803,165,37000,36925,43.541290283203125,-5.692578692768848,469,270,482,0.828000009059906,106,-0.03125,-0.52734375,111,0,0,0,371,1743653921341,-32.49178695678711,25263,2,8,186,2,1,10,1,3,3,0,False,False,2,3,35,176,1012.7999877929688,36992,0,0,0,0,False,False,False,False,False,False
1743653980,12605483,ACA822,20803,165,37000,36925,43.51112365722656,-5.552311387172949,470,270,478,0.828000009059906,106,0.0,0.3515625,111,0,-64,0,792,1743653972819,-33.85020065307617,17346,2,8,186,2,1,10,1,3,3,10,False,False,2,3,34,184,1012.7999877929688,36992,0,0,0,0,False,False,False,False,False,False
