timestamp,addr,flight,squawk,category,alt_baro,alt_geom,lat,lon,gs,ias,tas,mach,track,track_rate,roll,mag_heading,true_heading,baro_rate,geom_rate,messages,seen,rssi,distance,air_ground,nic,rc,version,nic_baro,nac_p,nac_v,sil,sil_type,seen_pos,alert,spi,gva,sda,wind_speed,wind_direction,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,addr_type,emergency,autopilot,vnav,althold,approach,lnav,tcas
1745035607,12605498,ACA822,20775,163,39000,38825,43.63243490962659,-5.81981113978793,502,254,482,0.8159999847412109,107,0.0,0.0,110,0,64,32,220,1745035607179,-30.79262924194336,39570,2,8,186,2,1,9,1,3,3,0,False,False,2,2,26,249,1012.7999877929688,39008,0,0,0,0,False,False,False,False,False,False
1745035667,12605498,ACA822,20775,163,39000,38825,43.59324645996094,-5.646397790243441,504,256,486,0.8240000009536743,107,0.0,-0.17578125,110,0,0,96,763,1745035667290,-34.37432098388672,28421,2,8,186,2,1,9,1,3,3,3,False,False,2,2,25,245,1012.7999877929688,39008,0,0,0,0,False,False,False,False,False,False
1745035727,12605498,ACA822,20775,163,39000,38825,43.54925537109375,-5.453562182049382,505,256,486,0.8240000009536743,107,0.0,-0.3515625,110,0,0,0,1452,1745035727546,-30.617595672607422,21605,2,8,186,2,1,9,1,3,3,0,False,False,2,2,26,245,1012.7999877929688,39008,0,0,0,0,False,False,False,False,False,False
1745035787,12605498,ACA822,20775,163,39000,38850,43.50660421080508,-5.268205915178555,505,258,490,0.828000009059906,107,0.0,0.0,110,0,0,0,1898,1745035787576,-30.510738372802734,25293,2,8,186,2,1,9,1,3,3,0,False,False,2,2,24,239,1012.7999877929688,39008,0,0,0,0,False,False,False,False,False,False
1745035846,12605498,ACA822,20775,163,39000,38850,43.48109436035156,-5.157889432685295,504,258,488,0.828000009059906,107,0.03125,0.17578125,110,0,0,0,2197,1745035833883,-35.11650085449219,31251,2,8,186,2,1,9,1,3,3,23,False,False,2,2,24,239,1012.7999877929688,39008,0,0,0,0,False,False,False,False,False,False
1745035907,12605498,ACA822,20775,163,39000,38850,43.48109436035156,-5.157889432685295,504,258,488,0.828000009059906,107,0.03125,0.17578125,110,0,0,0,2197,1745035833883,-35.11650085449219,31251,2,8,186,2,1,9,1,3,3,69,False,False,2,2,24,239,1012.7999877929688,39008,0,0,0,0,False,False,False,False,False,False
1745036688,4755896,,30325,0,37000,0,43.7517482951536,-4.990147181919642,428,0,0,0.0,210,0.0,0.0,0,0,0,0,13,1745036687654,-35.56614685058594,0,2,8,186,0,0,8,1,2,1,5,False,False,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1745036748,4755896,ENT75RX,30325,163,37000,36700,43.64030456542969,-5.08207099382264,429,248,454,0.7680000066757202,210,0.0,-0.17578125,213,0,0,-32,324,1745036747975,-32.27136993408203,46375,2,8,186,2,1,9,1,3,3,0,False,False,2,2,30,244,1013.5999755859375,36992,37008,213,0,0,False,False,False,False,False,False
1745036808,4755896,ENT75RX,30325,163,37025,36725,43.53844594147245,-5.165732247488847,430,249,454,0.7680000066757202,210,0.0,-0.17578125,213,0,-64,-32,698,1745036808367,-34.34134292602539,33983,2,8,186,2,1,9,1,3,3,1,False,False,2,2,29,245,1013.5999755859375,36992,37008,213,0,0,False,False,False,False,False,False
1745036867,4755896,ENT75RX,30325,163,37025,36725,43.44799494339248,-5.239628383091542,432,249,454,0.7720000147819519,211,0.0,-0.17578125,214,0,0,0,963,1745036866624,-34.81931686401367,23715,2,8,186,2,1,9,1,3,3,7,False,False,2,2,27,249,1013.5999755859375,36992,37008,213,0,0,False,False,False,False,False,False
1745036928,4755896,ENT75RX,30325,163,37000,36700,43.33250427246094,-5.3340539266896485,436,249,454,0.7720000147819519,210,0.0,-0.3515625,214,0,-64,-64,1347,1745036927979,-29.780696868896484,14227,2,8,186,2,1,9,1,3,3,0,False,False,2,2,31,262,1013.5999755859375,36992,37008,213,0,0,False,False,False,False,False,False
1745036988,4755896,ENT75RX,30325,163,37000,36725,43.22775630627648,-5.41920253208707,440,252,460,0.7799999713897705,210,0.0,-0.17578125,214,0,0,-32,1909,1745036988127,-25.826141357421875,16180,2,8,186,2,1,9,1,3,3,0,False,False,2,2,32,260,1013.5999755859375,36992,37008,213,0,0,False,False,False,False,False,False
1745037048,4755896,ENT75RX,30325,163,37000,36725,43.18885803222656,-5.450815600018132,441,253,462,0.7799999713897705,210,0.0,-0.3515625,214,0,-128,-128,2143,1745037016443,-34.107933044433594,19416,2,8,186,2,1,9,1,3,3,38,False,False,2,2,32,260,1013.5999755859375,36992,37008,213,0,0,False,False,False,False,False,False
1745037528,3961008,BCS8030,14084,164,37000,36550,43.80858857752913,-5.484858921596015,426,248,456,0.7680000066757202,212,-0.03125,-0.52734375,215,0,0,-32,176,1745037528747,-31.652854919433594,50049,2,7,371,2,1,9,1,3,3,0,False,False,2,2,0,0,1013.5999755859375,36992,0,215,0,0,False,True,False,False,False,True
1745037589,3961008,BCS8030,14084,164,37000,36550,43.70947886321504,-5.572487967354903,427,247,456,0.7680000066757202,212,-0.03125,-0.17578125,215,0,0,0,785,1745037588551,-30.074092864990234,39363,2,7,371,2,1,9,1,3,3,0,False,False,2,2,33,241,1013.5999755859375,36992,0,215,0,0,False,True,False,False,False,True
1745037649,3961008,BCS8030,14084,164,37000,36575,43.610595703125,-5.659555834393169,427,247,456,0.7680000066757202,212,-0.03125,-0.3515625,215,0,64,32,1325,1745037649061,-33.270267486572266,30613,2,7,371,2,1,9,1,3,3,1,False,False,2,2,33,241,1013.5999755859375,36992,0,215,0,0,False,True,False,False,False,True
1745037709,3961008,BCS8030,14084,164,37000,36575,43.50911803164724,-5.74859619140625,426,246,456,0.7639999985694885,212,-0.03125,-0.17578125,215,0,0,0,2005,1745037709237,-30.82425880432129,25738,2,7,371,2,1,9,1,3,3,0,False,False,2,2,33,239,1013.5999755859375,36992,0,215,0,0,False,True,False,False,False,True
1745037769,3961008,BCS8030,14084,164,37000,36575,43.40794372558594,-5.836997808412036,428,249,460,0.7720000147819519,212,-0.03125,-0.3515625,215,0,-64,-64,2507,1745037769498,-31.1983642578125,27282,2,7,371,2,1,9,1,3,3,0,False,False,2,2,37,237,1013.5999755859375,36992,0,215,0,0,False,True,False,False,False,True
1745037829,3961008,BCS8030,14084,164,37025,36600,43.33497619628906,-5.900488565134424,428,246,456,0.7639999985694885,212,-0.03125,-0.52734375,215,0,-64,-32,2758,1745037827292,-34.035091400146484,31988,2,7,371,2,1,9,1,3,3,16,False,False,2,2,30,242,1013.5999755859375,36992,0,215,0,0,False,True,False,False,False,True
1745037889,11284623,AAL758,5186,0,40975,40900,43.78577798099841,-5.589948381696445,513,254,502,0.8519999980926514,110,0.0,-0.17578125,113,0,-224,64,43,1745037889247,-34.11967468261719,47959,2,8,186,2,1,9,2,3,3,1,False,False,2,2,0,0,1012.7999877929688,40992,0,113,0,0,True,True,False,False,True,True
1745037889,3961008,BCS8030,14084,164,37025,36600,43.33497619628906,-5.900488565134424,428,246,456,0.7639999985694885,212,-0.03125,-0.52734375,215,0,-64,-32,2758,1745037827292,-34.035091400146484,31988,2,7,371,2,1,9,1,3,3,69,False,False,2,2,30,242,1013.5999755859375,36992,0,215,0,0,False,True,False,False,False,True
1745037950,11284623,AAL758,5186,165,41000,40925,43.75758361816406,-5.483327466388062,513,252,498,0.8479999899864197,110,0.0,0.0,113,0,-64,64,142,1745037925236,-34.75751495361328,44386,2,8,186,2,1,9,2,3,3,27,False,False,2,2,0,0,1012.7999877929688,40992,0,113,0,0,True,True,False,False,True,True
1745038009,11284623,AAL758,5186,165,40975,40900,43.68722689353813,-5.219879150390625,513,254,502,0.8560000061988831,110,0.0,-0.3515625,113,0,32,-64,154,1745038009150,-33.57635498046875,0,2,8,186,2,1,9,1,3,3,0,False,False,2,2,22,232,1012.7999877929688,40992,0,113,0,0,True,True,False,False,True,True
1745038009,4739595,,0,0,39000,38775,43.83036804199219,-4.92506870003632,441,0,0,0.0,210,0.0,0.0,0,0,0,0,36,1745038009206,-34.472476959228516,70289,2,8,186,0,1,8,1,2,1,1,False,False,0,0,0,0,1013.5999755859375,39008,0,213,0,0,False,False,False,False,False,False
