timestamp,addr,flight,squawk,category,alt_baro,alt_geom,lat,lon,gs,ias,tas,mach,track,track_rate,roll,mag_heading,true_heading,baro_rate,geom_rate,messages,seen,rssi,distance,air_ground,nic,rc,version,nic_baro,nac_p,nac_v,sil,sil_type,seen_pos,alert,spi,gva,sda,wind_speed,wind_direction,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,addr_type,emergency,autopilot,vnav,althold,approach,lnav,tcas
1744157338,4226795,EXS76XB,25173,163,38000,39175,43.696014404296875,-6.625075229378581,445,246,442,0.7799999713897705,30,0.03125,0.0,30,0,0,-32,168,1744157338002,-29.778156280517578,97685,2,8,186,2,1,9,2,3,3,0,False,False,2,2,0,0,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744157398,4226795,EXS76XB,25173,163,38000,39175,43.80286265227754,-6.53908865792414,444,247,442,0.7799999713897705,30,0.03125,0.0,30,0,0,0,1009,1744157398199,-31.673505783081055,96746,2,8,186,2,1,9,2,3,3,0,False,False,2,2,10,294,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744157457,4226795,EXS76XB,25173,163,38000,39175,43.894291247351696,-6.465127127511153,442,247,444,0.7799999713897705,30,0.0,-0.17578125,30,0,0,0,1523,1744157454430,-34.90874481201172,97480,2,8,186,2,1,9,2,3,3,7,False,False,2,2,11,310,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744157517,4226795,EXS76XB,25173,163,38000,39175,43.894291247351696,-6.465127127511153,442,247,444,0.7799999713897705,30,0.0,-0.17578125,30,0,0,0,1523,1744157454430,-34.90874481201172,97480,2,8,186,2,1,9,2,3,3,67,False,False,2,2,11,310,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744158959,4224666,TOM225,25191,163,36000,37150,43.7504448324947,-6.766793387276778,459,262,454,0.7919999957084656,28,0.0,-0.17578125,29,0,0,32,56,1744158958922,-32.85557556152344,110522,2,8,186,0,0,8,2,2,1,1,False,False,0,0,0,0,1013.2000122070312,36000,36000,0,0,0,False,False,False,False,False,False
1744159018,4224666,TOM225,25191,163,36000,37150,43.861541748046875,-6.681986964026123,459,263,456,0.7919999957084656,28,0.0,-0.17578125,29,0,0,-32,373,1744159018795,-30.50005340576172,109935,2,8,186,2,1,10,2,3,3,0,False,False,2,2,4,255,1013.5999755859375,36000,36000,33,0,0,False,False,False,False,False,False
1744159079,4224666,TOM225,25191,163,36000,37150,43.957695395259535,-6.6082763671875,459,264,456,0.7960000038146973,29,0.0,0.0,29,0,0,0,763,1744159077096,-35.44868850708008,110881,2,8,186,2,1,10,2,3,3,8,False,False,2,2,11,283,1013.5999755859375,36000,36000,33,0,0,False,False,False,False,False,False
1744159139,4224666,TOM225,25392,163,36000,37150,43.957695395259535,-6.6082763671875,459,264,456,0.7960000038146973,29,0.0,0.0,29,0,0,0,765,1744159091378,-35.93910598754883,110881,2,8,186,2,1,10,2,3,3,68,False,False,2,2,11,283,1013.5999755859375,36000,36000,33,0,0,False,False,False,False,False,False
1744168508,3788449,,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,2,1744168467640,-42.522315979003906,0,2,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1744170610,3788562,,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,7,1744170578501,-36.52276611328125,0,2,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1744173132,4459852,TAY1MN,30246,163,39000,40000,43.777130126953125,-4.910505427870589,453,244,446,0.7879999876022339,211,0.0,0.703125,216,0,0,0,74,1744173131871,-35.4188346862793,66843,2,8,186,0,0,8,2,2,1,15,False,False,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1744173192,4459852,TAY1MN,30246,163,39000,40000,43.67326122219279,-4.999433244977695,453,244,446,0.7879999876022339,211,0.0,0.3515625,215,0,64,0,296,1744173192270,-35.38279342651367,53788,2,8,186,2,1,11,2,3,3,17,False,False,2,2,25,316,1013.5999755859375,39008,39008,218,0,0,False,False,False,False,False,False
1744173192,4574799,,0,0,37025,38050,43.888798083289196,-5.485316685267857,456,0,0,0.0,216,0.0,0.0,0,0,0,0,15,1744173192292,-34.9742546081543,58962,2,8,186,0,1,8,1,2,1,1,False,False,0,0,0,0,1012.7999877929688,36992,0,234,0,0,False,False,False,False,False,False
1744173252,4459852,TAY1MN,30246,163,39000,40025,43.54389255329714,-5.10995047433039,450,248,450,0.800000011920929,211,0.0,0.17578125,215,0,0,0,506,1744173252909,-34.58674240112305,38042,2,8,186,2,1,11,2,3,3,4,False,False,2,2,25,316,1013.5999755859375,39008,39008,218,0,0,False,False,False,False,False,False
1744173252,4574799,SRR6646,9840,165,37025,38050,43.785405563095864,-5.591648646763417,455,262,0,0.8080000281333923,216,0.0,0.0,220,0,0,32,139,1744173252834,-34.0961799621582,47938,2,8,186,2,1,9,1,3,3,0,False,False,2,2,0,0,1012.7999877929688,36992,0,218,0,0,False,False,False,False,False,False
1744173313,4459852,TAY1MN,30246,163,39000,40025,43.54389255329714,-5.10995047433039,450,248,450,0.800000011920929,211,0.0,0.17578125,215,0,0,0,536,1744173312880,-34.96865463256836,38042,2,8,186,2,1,11,2,3,3,64,False,False,2,2,25,316,1013.5999755859375,39008,39008,218,0,0,False,False,False,False,False,False
1744173313,4574799,SRR6646,9840,165,37025,38050,43.683746337890625,-5.695964014807373,454,262,0,0.8080000281333923,216,0.0,0.0,220,0,0,32,289,1744173312734,-34.32464599609375,39241,2,8,186,2,1,9,1,3,3,0,False,False,2,2,0,0,1012.7999877929688,36992,0,218,0,0,False,False,False,False,False,False
